Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0603_1608Metric,161.65,-115.75,180.0,bottom
C2,22pF,C_0603_1608Metric,161.65,-113.4,180.0,bottom
C3,1uF,C_0603_1608Metric,148.75,-108.6,0.0,bottom
C4,0.1uF,C_0603_1608Metric,143.55,-119.3,90.0,bottom
C5,0.1uF,C_0603_1608Metric,154.5,-121.0,180.0,bottom
C6,0.1uF,C_0603_1608Metric,155.8,-110.15,180.0,bottom
C7,10uF,C_0603_1608Metric,143.64,-112.4283,270.0,bottom
D1,SOD-123,D_SOD-123,43.091093,-56.26951,100.0,bottom
D2,SOD-123,D_SOD-123,61.851681,-59.577507,100.0,bottom
D3,SOD-123,D_SOD-123,81.852768,-55.850285,100.0,bottom
D4,SOD-123,D_SOD-123,101.440355,-54.468136,100.0,bottom
D5,SOD-123,D_SOD-123,119.787443,-60.121207,100.0,bottom
D6,SOD-123,D_SOD-123,138.134531,-65.774278,100.0,bottom
D7,SOD-123,D_SOD-123,175.184593,-62.984767,80.0,bottom
D8,SOD-123,D_SOD-123,193.531681,-57.331695,80.0,bottom
D9,SOD-123,D_SOD-123,211.878769,-51.678624,80.0,bottom
D10,SOD-123,D_SOD-123,231.466356,-53.060773,80.0,bottom
D11,SOD-123,D_SOD-123,251.467443,-56.787996,80.0,bottom
D12,SOD-123,D_SOD-123,270.228031,-53.479998,80.0,bottom
D13,SOD-123,D_SOD-123,39.783095,-75.030097,100.0,bottom
D14,SOD-123,D_SOD-123,58.543683,-78.338095,100.0,bottom
D15,SOD-123,D_SOD-123,78.54477,-74.610873,100.0,bottom
D16,SOD-123,D_SOD-123,98.132357,-73.228723,100.0,bottom
D17,SOD-123,D_SOD-123,116.479445,-78.881795,100.0,bottom
D18,SOD-123,D_SOD-123,134.826533,-84.534866,100.0,bottom
D19,SOD-123,D_SOD-123,178.492591,-81.745354,80.0,bottom
D20,SOD-123,D_SOD-123,196.839679,-76.092283,80.0,bottom
D21,SOD-123,D_SOD-123,215.186767,-70.439212,80.0,bottom
D22,SOD-123,D_SOD-123,234.774354,-71.821361,80.0,bottom
D23,SOD-123,D_SOD-123,254.775441,-75.548584,80.0,bottom
D24,SOD-123,D_SOD-123,273.536029,-72.240586,80.0,bottom
D25,SOD-123,D_SOD-123,36.475098,-93.790685,100.0,bottom
D26,SOD-123,D_SOD-123,55.235685,-97.098683,100.0,bottom
D27,SOD-123,D_SOD-123,75.236772,-93.37146,100.0,bottom
D28,SOD-123,D_SOD-123,94.824359,-91.989311,100.0,bottom
D29,SOD-123,D_SOD-123,113.171447,-97.642382,100.0,bottom
D30,SOD-123,D_SOD-123,131.518535,-103.295454,100.0,bottom
D31,SOD-123,D_SOD-123,181.800589,-100.505942,80.0,bottom
D32,SOD-123,D_SOD-123,200.147677,-94.852871,80.0,bottom
D33,SOD-123,D_SOD-123,218.494765,-89.1998,80.0,bottom
D34,SOD-123,D_SOD-123,238.082352,-90.581949,80.0,bottom
D35,SOD-123,D_SOD-123,258.083439,-94.309171,80.0,bottom
D36,SOD-123,D_SOD-123,276.844027,-91.001174,80.0,bottom
D37,SOD-123,D_SOD-123,33.1671,-112.551273,100.0,bottom
D38,SOD-123,D_SOD-123,51.927687,-115.859271,100.0,bottom
D39,SOD-123,D_SOD-123,71.928774,-112.132048,100.0,bottom
D40,SOD-123,D_SOD-123,100.07,-117.0833,100.0,bottom
D41,SOD-123,D_SOD-123,119.78,-125.651,115.0,bottom
D42,SOD-123,D_SOD-123,136.63,-138.971,130.0,bottom
D43,SOD-123,D_SOD-123,172.98,-128.25,50.0,bottom
D44,SOD-123,D_SOD-123,192.22,-118.61,65.0,bottom
D45,SOD-123,D_SOD-123,213.25,-114.2923,80.0,bottom
D46,SOD-123,D_SOD-123,241.39035,-109.342536,80.0,bottom
D47,SOD-123,D_SOD-123,261.391437,-113.069759,80.0,bottom
D48,SOD-123,D_SOD-123,280.152024,-109.761761,80.0,bottom
F1,500mA,Fuse_1206_3216Metric,144.35,-57.99,90.0,bottom
R1,10k,R_0805_2012Metric,144.45,-122.6,180.0,bottom
R2,22,R_0805_2012Metric,149.708001,-57.49,90.0,bottom
R3,22,R_0805_2012Metric,146.89,-57.49,90.0,bottom
R4,5.1k,R_0805_2012Metric,152.85,-52.99,270.0,bottom
R5,5.1k,R_0805_2012Metric,144.15,-52.99,270.0,bottom
SW1,SW_Push,SW_SPST_SKQG_WithStem,157.8,-105.05,0.0,bottom
U1,ATmega32U4-M,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,149.4028,-115.9256,270.0,bottom
U2,PRTR5V0U2X,SOT-143,148.4,-52.79,0.0,bottom
USB1,TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,148.5,-43.8383,180.0,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,157.6,-114.65,90.0,bottom
ZD1,Schottky,D_SOD-123,141.56,-57.9583,90.0,bottom
