Comment,Designator,Footprint,LCSC
W25Q128JVSIQ,U3,SOIC-8_5.23x5.23mm_P1.27mm,C113767
1k,"R3,R5",R_0402_1005Metric,C11702
NCP1117-3.3_SOT223,U2,SOT-223-3_TabPin2,C146799
100n,"C1,C2,C3,C4,C5,C6,C7,C8,C9",C_0402_1005Metric,C1525
10u,"C15,C16",C_0402_1005Metric,C15525
27p,"C12,C13",C_0402_1005Metric,C1557
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
SOD-523,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D5,D6,D7,D8,D9",D_SOD-523,C232841
10k,R4,R_0402_1005Metric,C25744
27,"R1,R2",R_0402_1005Metric,C2909343
TS-1088R-02026,"BOOT_SW1,RESET_SW1",TS-1088R-02026,C455280
1u,"C10,C11,C14",C_0402_1005Metric,C52923
SW_Push,"MX1,MX10,MX11,MX12,MX13,MX14,MX15,MX16,MX17,MX18,MX19,MX2,MX20,MX21,MX22,MX23,MX24,MX25,MX26,MX27,MX28,MX29,MX3,MX30,MX31,MX32,MX33,MX34,MX35,MX36,MX37,MX38,MX39,MX4,MX40,MX41,MX42,MX43,MX44,MX45,MX46,MX47,MX48,MX5,MX6,MX7,MX8,MX9",keyswitch_choc12_hotswap_1u,C5333465
78171-0004,J2,Pico-EZmate_PCB_Header,C588524
12MHz 18pF,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C91749
