Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT_SW1,TS-1088R-02026,TS-1088R-02026,11.191219,-51.948482,270.0,bottom
C1,100n,C_0402_1005Metric,2.621219,-65.238482,90.0,bottom
C2,100n,C_0402_1005Metric,-3.048781,-82.208482,270.0,bottom
C3,100n,C_0402_1005Metric,0.712894,-65.318595,90.0,bottom
C4,100n,C_0402_1005Metric,6.501219,-71.158482,180.0,bottom
C5,100n,C_0402_1005Metric,6.501219,-74.758482,180.0,bottom
C6,100n,C_0402_1005Metric,-1.778781,-82.208482,270.0,bottom
C7,100n,C_0402_1005Metric,-6.998781,-74.748482,0.0,bottom
C8,100n,C_0402_1005Metric,-6.998781,-69.648482,0.0,bottom
C9,100n,C_0402_1005Metric,-6.998781,-68.378482,0.0,bottom
C10,1u,C_0402_1005Metric,-3.958781,-65.818482,90.0,bottom
C11,1u,C_0402_1005Metric,-5.588781,-65.828482,90.0,bottom
C12,27p,C_0402_1005Metric,4.571219,-85.648482,0.0,bottom
C13,27p,C_0402_1005Metric,2.191219,-85.638482,180.0,bottom
C14,1u,C_0402_1005Metric,6.701219,-57.618482,180.0,bottom
C15,10u,C_0402_1005Metric,-7.568781,-39.058482,0.0,bottom
C16,10u,C_0402_1005Metric,-8.088781,-50.318482,0.0,bottom
D1,SOD-523,D_SOD-523,-108.327106,-20.238595,100.0,bottom
D2,SOD-523,D_SOD-523,-89.56866,-23.53796,100.0,bottom
D3,SOD-523,D_SOD-523,-69.57866,-19.81796,100.0,bottom
D4,SOD-523,D_SOD-523,-49.98866,-18.43796,100.0,bottom
D5,SOD-523,D_SOD-523,-31.63866,-24.07796,100.0,bottom
D6,SOD-523,D_SOD-523,-13.29866,-29.75796,100.0,bottom
D7,SOD-523,D_SOD-523,26.84134,-27.33923,80.0,bottom
D8,SOD-523,D_SOD-523,45.188427,-21.686156,80.0,bottom
D9,SOD-523,D_SOD-523,63.535519,-16.033088,80.0,bottom
D10,SOD-523,D_SOD-523,83.123104,-17.415235,80.0,bottom
D11,SOD-523,D_SOD-523,103.12419,-21.142458,80.0,bottom
D12,SOD-523,D_SOD-523,121.884777,-17.834461,80.0,bottom
D13,SOD-523,D_SOD-523,-111.635552,-38.97923,100.0,bottom
D14,SOD-523,D_SOD-523,-92.877106,-42.278595,100.0,bottom
D15,SOD-523,D_SOD-523,-72.887106,-38.558595,100.0,bottom
D16,SOD-523,D_SOD-523,-53.297106,-37.178595,100.0,bottom
D17,SOD-523,D_SOD-523,-34.947106,-42.818595,100.0,bottom
D18,SOD-523,D_SOD-523,-16.607106,-48.498595,100.0,bottom
D19,SOD-523,D_SOD-523,30.149337,-46.099816,80.0,bottom
D20,SOD-523,D_SOD-523,48.496427,-40.446743,80.0,bottom
D21,SOD-523,D_SOD-523,66.843516,-34.793672,80.0,bottom
D22,SOD-523,D_SOD-523,86.431097,-36.175822,80.0,bottom
D23,SOD-523,D_SOD-523,106.432187,-39.903046,80.0,bottom
D24,SOD-523,D_SOD-523,125.192777,-36.595046,80.0,bottom
D25,SOD-523,D_SOD-523,-114.945552,-57.74923,100.0,bottom
D26,SOD-523,D_SOD-523,-96.187106,-61.048595,100.0,bottom
D27,SOD-523,D_SOD-523,-76.197106,-57.328595,100.0,bottom
D28,SOD-523,D_SOD-523,-56.607106,-55.948595,100.0,bottom
D29,SOD-523,D_SOD-523,-38.257106,-61.588595,100.0,bottom
D30,SOD-523,D_SOD-523,-19.917106,-67.268595,100.0,bottom
D31,SOD-523,D_SOD-523,33.457334,-64.8604,80.0,bottom
D32,SOD-523,D_SOD-523,51.804423,-59.207332,80.0,bottom
D33,SOD-523,D_SOD-523,70.151512,-53.554259,80.0,bottom
D34,SOD-523,D_SOD-523,89.739097,-54.936412,80.0,bottom
D35,SOD-523,D_SOD-523,109.740189,-58.663633,80.0,bottom
D36,SOD-523,D_SOD-523,128.500772,-55.355638,80.0,bottom
D37,SOD-523,D_SOD-523,-118.245552,-76.50923,100.0,bottom
D38,SOD-523,D_SOD-523,-99.487106,-79.808595,100.0,bottom
D39,SOD-523,D_SOD-523,-79.497106,-76.088595,100.0,bottom
D40,SOD-523,D_SOD-523,-51.357106,-81.028595,100.0,bottom
D41,SOD-523,D_SOD-523,-33.704814,-88.497525,115.0,bottom
D42,SOD-523,D_SOD-523,-11.107106,-95.468595,130.0,bottom
D43,SOD-523,D_SOD-523,11.202943,-95.502364,50.0,bottom
D44,SOD-523,D_SOD-523,46.227061,-82.69418,65.0,bottom
D45,SOD-523,D_SOD-523,64.906215,-78.658994,80.0,bottom
D46,SOD-523,D_SOD-523,93.047094,-73.696995,80.0,bottom
D47,SOD-523,D_SOD-523,113.048187,-77.424221,80.0,bottom
D48,SOD-523,D_SOD-523,131.80877,-74.116221,80.0,bottom
J2,78171-0004,Pico-EZmate_PCB_Header,-0.007106,-35.648595,180.0,bottom
MX1,SW_Push,keyswitch_choc12_hotswap_1u,-113.570772,-10.335666,10.0,bottom
MX2,SW_Push,keyswitch_choc12_hotswap_1u,-94.810184,-13.644665,10.0,bottom
MX3,SW_Push,keyswitch_choc12_hotswap_1u,-74.809097,-9.917443,10.0,bottom
MX4,SW_Push,keyswitch_choc12_hotswap_1u,-55.22151,-8.534292,10.0,bottom
MX5,SW_Push,keyswitch_choc12_hotswap_1u,-36.874422,-14.187364,10.0,bottom
MX6,SW_Push,keyswitch_choc12_hotswap_1u,-18.527335,-19.840435,10.0,bottom
MX7,SW_Push,keyswitch_choc12_hotswap_1u,18.527333,-19.840435,350.0,bottom
MX8,SW_Push,keyswitch_choc12_hotswap_1u,36.874422,-14.185085,350.0,bottom
MX9,SW_Push,keyswitch_choc12_hotswap_1u,55.22151,-8.532015,350.0,bottom
MX10,SW_Push,keyswitch_choc12_hotswap_1u,74.809097,-9.914163,350.0,bottom
MX11,SW_Push,keyswitch_choc12_hotswap_1u,94.810184,-13.643664,350.0,bottom
MX12,SW_Push,keyswitch_choc12_hotswap_1u,113.570772,-10.335666,350.0,bottom
MX13,SW_Push,keyswitch_choc12_hotswap_1u,-116.878769,-29.096253,10.0,bottom
MX14,SW_Push,keyswitch_choc12_hotswap_1u,-98.118182,-32.404252,10.0,bottom
MX15,SW_Push,keyswitch_choc12_hotswap_1u,-78.117095,-28.677029,10.0,bottom
MX16,SW_Push,keyswitch_choc12_hotswap_1u,-58.529508,-27.294879,10.0,bottom
MX17,SW_Push,keyswitch_choc12_hotswap_1u,-40.18242,-32.947952,10.0,bottom
